REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2026/05/01 00:05:00,4510.93,7.95,TRADE
VIC1,2026/05/01 00:10:00,4537.89,4.55,TRADE
VIC1,2026/05/01 00:15:00,4518.44,4.55,TRADE
VIC1,2026/05/01 00:20:00,4487.46,4.55,TRADE
VIC1,2026/05/01 00:25:00,4413.79,4.55,TRADE
VIC1,2026/05/01 00:30:00,4456.21,4.55,TRADE
VIC1,2026/05/01 00:35:00,4427.93,1.67,TRADE
VIC1,2026/05/01 00:40:00,4371.84,1.67,TRADE
VIC1,2026/05/01 00:45:00,4320.43,1.67,TRADE
VIC1,2026/05/01 00:50:00,4306.21,0,TRADE
VIC1,2026/05/01 00:55:00,4348.15,0,TRADE
VIC1,2026/05/01 01:00:00,4306.9,0,TRADE
VIC1,2026/05/01 01:05:00,4251.04,0,TRADE
VIC1,2026/05/01 01:10:00,4231.35,0,TRADE
VIC1,2026/05/01 01:15:00,4221.48,-0.05,TRADE
VIC1,2026/05/01 01:20:00,4207.06,0,TRADE
VIC1,2026/05/01 01:25:00,4153.78,-0.05,TRADE
VIC1,2026/05/01 01:30:00,4069.51,-0.05,TRADE
VIC1,2026/05/01 01:35:00,4053.19,-0.10,TRADE
VIC1,2026/05/01 01:40:00,4103.18,-0.05,TRADE
VIC1,2026/05/01 01:45:00,4075.14,-0.10,TRADE
VIC1,2026/05/01 01:50:00,3968.77,-0.10,TRADE
VIC1,2026/05/01 01:55:00,4011.28,-0.10,TRADE
VIC1,2026/05/01 02:00:00,4015.75,-0.10,TRADE
VIC1,2026/05/01 02:05:00,4008.24,0,TRADE
VIC1,2026/05/01 02:10:00,3995.47,-0.10,TRADE
VIC1,2026/05/01 02:15:00,3920.51,-0.10,TRADE
VIC1,2026/05/01 02:20:00,3890.06,-0.10,TRADE
VIC1,2026/05/01 02:25:00,3929.14,-0.10,TRADE
VIC1,2026/05/01 02:30:00,3946.87,-2,TRADE
VIC1,2026/05/01 02:35:00,3851.22,-2,TRADE
VIC1,2026/05/01 02:40:00,3939.2,-0.10,TRADE
VIC1,2026/05/01 02:45:00,3924.97,-2,TRADE
VIC1,2026/05/01 02:50:00,3894.08,-2,TRADE
VIC1,2026/05/01 02:55:00,3893.56,-2.68,TRADE
VIC1,2026/05/01 03:00:00,3871.4,-2.99,TRADE
VIC1,2026/05/01 03:05:00,3827.26,-2,TRADE
VIC1,2026/05/01 03:10:00,3821.65,-2,TRADE
VIC1,2026/05/01 03:15:00,3899.98,-2,TRADE
VIC1,2026/05/01 03:20:00,3843.58,-2.69,TRADE
VIC1,2026/05/01 03:25:00,3917.13,-2.68,TRADE
VIC1,2026/05/01 03:30:00,3850.39,-2.68,TRADE
VIC1,2026/05/01 03:35:00,3819.37,-2,TRADE
VIC1,2026/05/01 03:40:00,3840.55,-2.99,TRADE
VIC1,2026/05/01 03:45:00,3877.46,-2.99,TRADE
VIC1,2026/05/01 03:50:00,3866.13,-2,TRADE
VIC1,2026/05/01 03:55:00,3897.04,-2,TRADE
VIC1,2026/05/01 04:00:00,3896.24,-2.99,TRADE
VIC1,2026/05/01 04:05:00,3838.02,-2.68,TRADE
VIC1,2026/05/01 04:10:00,3838.1,-2.29,TRADE
VIC1,2026/05/01 04:15:00,3849.48,-2.99,TRADE
VIC1,2026/05/01 04:20:00,3891.37,-2.99,TRADE
VIC1,2026/05/01 04:25:00,3889.11,-2.29,TRADE
VIC1,2026/05/01 04:30:00,3928.61,-2.29,TRADE
VIC1,2026/05/01 04:35:00,3910.53,-2.26,TRADE
VIC1,2026/05/01 04:40:00,3954.38,-2.29,TRADE
VIC1,2026/05/01 04:45:00,3979.44,-2.29,TRADE
VIC1,2026/05/01 04:50:00,3923.36,-2.29,TRADE
VIC1,2026/05/01 04:55:00,3916.58,-2.29,TRADE
VIC1,2026/05/01 05:00:00,3920.62,-2.99,TRADE
VIC1,2026/05/01 05:05:00,4028.59,-2.29,TRADE
VIC1,2026/05/01 05:10:00,4068.19,-2.29,TRADE
VIC1,2026/05/01 05:15:00,4118.02,-2.26,TRADE
VIC1,2026/05/01 05:20:00,4131.12,-2.99,TRADE
VIC1,2026/05/01 05:25:00,4166.94,-2,TRADE
VIC1,2026/05/01 05:30:00,4195.25,-2,TRADE
VIC1,2026/05/01 05:35:00,4226.76,-3.01,TRADE
VIC1,2026/05/01 05:40:00,4194.15,-2,TRADE
VIC1,2026/05/01 05:45:00,4281.89,-3.24,TRADE
VIC1,2026/05/01 05:50:00,4323.25,-2.26,TRADE
VIC1,2026/05/01 05:55:00,4425.82,-0.10,TRADE
VIC1,2026/05/01 06:00:00,4367.21,-0.10,TRADE
VIC1,2026/05/01 06:05:00,4486.03,-2,TRADE
VIC1,2026/05/01 06:10:00,4558.34,-0.10,TRADE
VIC1,2026/05/01 06:15:00,4623.35,-0.10,TRADE
VIC1,2026/05/01 06:20:00,4720.32,0,TRADE
VIC1,2026/05/01 06:25:00,4671.7,0,TRADE
VIC1,2026/05/01 06:30:00,4749.34,29.11,TRADE
VIC1,2026/05/01 06:35:00,4891.34,23.54,TRADE
VIC1,2026/05/01 06:40:00,4960.06,27.67,TRADE
VIC1,2026/05/01 06:45:00,5017.33,22.97,TRADE
VIC1,2026/05/01 06:50:00,5069.44,25.19,TRADE
VIC1,2026/05/01 06:55:00,5115.24,26.33,TRADE
VIC1,2026/05/01 07:00:00,5214.14,23.83,TRADE
VIC1,2026/05/01 07:05:00,5169.59,24.60,TRADE
VIC1,2026/05/01 07:10:00,5218.71,23.98,TRADE
VIC1,2026/05/01 07:15:00,5282.94,24.71,TRADE
VIC1,2026/05/01 07:20:00,5330.06,24.42,TRADE
VIC1,2026/05/01 07:25:00,5351.95,17.51,TRADE
VIC1,2026/05/01 07:30:00,5326.67,17.19,TRADE
VIC1,2026/05/01 07:35:00,5286.39,-1.15,TRADE
VIC1,2026/05/01 07:40:00,5324.8,-0.10,TRADE
VIC1,2026/05/01 07:45:00,5358.87,-1.18,TRADE
VIC1,2026/05/01 07:50:00,5254.34,-0.10,TRADE
VIC1,2026/05/01 07:55:00,5228.46,-0.10,TRADE
VIC1,2026/05/01 08:00:00,5239.62,-0.10,TRADE
VIC1,2026/05/01 08:05:00,5147.02,0.01,TRADE
VIC1,2026/05/01 08:10:00,5189.71,0.01,TRADE
VIC1,2026/05/01 08:15:00,5083.37,-0.05,TRADE
VIC1,2026/05/01 08:20:00,5074.57,-0.10,TRADE
VIC1,2026/05/01 08:25:00,5044.81,-2.29,TRADE
VIC1,2026/05/01 08:30:00,5014.6,-2.80,TRADE
VIC1,2026/05/01 08:35:00,4905.17,-3,TRADE
VIC1,2026/05/01 08:40:00,4851.03,-2.26,TRADE
VIC1,2026/05/01 08:45:00,4762.06,-3,TRADE
VIC1,2026/05/01 08:50:00,4685.83,-3,TRADE
VIC1,2026/05/01 08:55:00,4657.05,-2.33,TRADE
VIC1,2026/05/01 09:00:00,4603.56,-3,TRADE
VIC1,2026/05/01 09:05:00,4579.45,-2,TRADE
VIC1,2026/05/01 09:10:00,4589.69,-2.26,TRADE
VIC1,2026/05/01 09:15:00,4560.68,-2.26,TRADE
VIC1,2026/05/01 09:20:00,4420.16,-3,TRADE
VIC1,2026/05/01 09:25:00,4427.94,-2.80,TRADE
VIC1,2026/05/01 09:30:00,4419.25,-3.01,TRADE
VIC1,2026/05/01 09:35:00,4403.82,-3.01,TRADE
VIC1,2026/05/01 09:40:00,4383.24,-3,TRADE
VIC1,2026/05/01 09:45:00,4297.58,-3.41,TRADE
VIC1,2026/05/01 09:50:00,4241.51,-3.37,TRADE
VIC1,2026/05/01 09:55:00,4242.77,-3.31,TRADE
VIC1,2026/05/01 10:00:00,4099.81,-3.06,TRADE
VIC1,2026/05/01 10:05:00,4061,-5.36,TRADE
VIC1,2026/05/01 10:10:00,4145.55,-3.28,TRADE
